country_code	continent	country	date	total_cases	new_cases	total_deaths	new_deaths	total_cases_per_million	new_cases_per_million	total_deaths_per_million	new_deaths_per_million
PAN	North America	Panama	1/30/2021	319453	1200	5244	23	74037.121	278.115	1215.361	5.331
PNG	Oceania	Papua New Guinea	1/30/2021	851	0	9	0	95.115	0	1.006	0
PRY	South America	Paraguay	1/30/2021	132548	662	2704	11	18583.588	92.814	379.108	1.542
PER	South America	Peru	1/30/2021	1133022	13337	40857	373	34363.317	404.497	1239.148	11.313
PHL	Asia	Philippines	1/30/2021	523516	2103	10669	69	4777.43	19.191	97.362	0.63
POL	Europe	Poland	1/30/2021	1508674	5864	37082	302	39862.862	154.941	979.797	7.98
PRT	Europe	Portugal	1/30/2021	711018	12435	12179	293	69730.159	1219.511	1194.405	28.735
QAT	Asia	Qatar	1/30/2021	150984	363	248	0	52405.712	125.995	86.079	0
ROU	Europe	Romania	1/30/2021	726918	2668	18264	68	37786.153	138.686	949.387	3.535
RUS	Europe	Russia	1/30/2021	3790265	18751	71556	502	25972.378	128.489	490.33	3.44
RWA	Africa	Rwanda	1/30/2021	15118	334	193	5	1167.214	25.787	14.901	0.386
KNA	North America	Saint Kitts and Nevis	1/30/2021	37	0			695.593	0		
LCA	North America	Saint Lucia	1/30/2021	1195	0	13	0	6507.687	0	70.795	0
VCT	North America	Saint Vincent and the Grenadines	1/30/2021	896	0	2	0	8075.928	0	18.027	0
WSM	Oceania	Samoa	1/30/2021	2	0			10.08	0		
SMR	Europe	San Marino	1/30/2021	2996	0	65	0	88278.626	0	1915.257	0
STP	Africa	Sao Tome and Principe	1/30/2021	1256	11	17	0	5730.947	50.191	77.569	0
SAU	Asia	Saudi Arabia	1/30/2021	367813	270	6372	4	10565.129	7.756	183.031	0.115
SEN	Africa	Senegal	1/30/2021	26213	318	621	4	1565.523	18.992	37.088	0.239
SRB	Europe	Serbia	1/30/2021	393897	1543	4000	17	57886.905	226.759	587.838	2.498
SYC	Africa	Seychelles	1/30/2021	1186	24	4	1	12060.199	244.051	40.675	10.169
SLE	Africa	Sierra Leone	1/30/2021	3528	146	79	0	442.272	18.303	9.903	0
SGP	Asia	Singapore	1/30/2021	59507	58	29	0	10171.54	9.914	4.957	0
SVK	Europe	Slovakia	1/30/2021	248190	2182	4565	70	45459.016	399.66	836.135	12.821
SVN	Europe	Slovenia	1/30/2021	165887	1358	3490	22	79794.337	653.22	1678.747	10.582
SLB	Oceania	Solomon Islands	1/30/2021	17	0			24.75	0		
SOM	Africa	Somalia	1/30/2021	4784	0	130	0	301.009	0	8.18	0
ZAF	Africa	South Africa	1/30/2021	1449236	5297	43951	318	24435.475	89.312	741.055	5.362
KOR	Asia	South Korea	1/30/2021	78205	355	1420	6	1525.38	6.924	27.697	0.117
SSD	Africa	South Sudan	1/30/2021	3929	0	64	0	351	0	5.717	0
ESP	Europe	Spain	1/30/2021	2743119	0	58319	0	58670.34	0	1247.338	0
LKA	Asia	Sri Lanka	1/30/2021	63293	848	313	8	2955.787	39.602	14.617	0.374
SDN	Africa	Sudan	1/30/2021	29291	0	1804	6	667.993	0	41.141	0.137
SUR	South America	Suriname	1/30/2021	8403	39	154	0	14324.093	66.481	262.515	0
